repo_name,act_type,isbot,date_month,activity
padosoft/laravel-affiliate-network,CODE,0,2019-11,2
padosoft/laravel-affiliate-network,CODE,0,2019-12,5
padosoft/laravel-affiliate-network,CODE,0,2020-01,5
padosoft/laravel-affiliate-network,CODE,0,2020-03,2
padosoft/laravel-affiliate-network,NON_CODE,0,2020-04,3
padosoft/laravel-affiliate-network,CODE,0,2020-05,6
padosoft/laravel-affiliate-network,CODE,0,2020-07,4
padosoft/laravel-affiliate-network,CODE,0,2020-08,2
padosoft/laravel-affiliate-network,CODE,0,2020-09,2
padosoft/laravel-affiliate-network,CODE,0,2020-12,2
padosoft/laravel-affiliate-network,CODE,0,2021-02,1
padosoft/laravel-affiliate-network,CODE,0,2021-03,6
padosoft/laravel-affiliate-network,CODE,0,2021-06,1
padosoft/laravel-affiliate-network,CODE,0,2021-08,3
padosoft/laravel-affiliate-network,CODE,0,2021-10,3
padosoft/laravel-google-structured-data-testing-tool,CODE,0,2016-11,8
padosoft/laravel-google-structured-data-testing-tool,NON_CODE,0,2016-11,3
padosoft/laravel-google-structured-data-testing-tool,CODE,0,2017-01,2
padosoft/laravel-google-structured-data-testing-tool,NON_CODE,0,2018-07,1
padosoft/laravel-google-structured-data-testing-tool,CODE,0,2018-08,7
padosoft/laravel-google-structured-data-testing-tool,NON_CODE,0,2018-08,2
padosoft/laravel-google-structured-data-testing-tool,CODE,0,2019-09,1
padosoft/laravel-google-structured-data-testing-tool,NON_CODE,0,2019-09,5
padosoft/laravel-request,CODE,0,2016-08,6
padosoft/laravel-request,CODE,0,2016-09,10
padosoft/laravel-request,CODE,0,2017-01,1
padosoft/laravel-request,CODE,0,2018-10,1
padosoft/laravel-request,CODE,0,2019-06,4
padosoft/laravel-support,CODE,0,2016-08,1
padosoft/laravel-support,CODE,0,2016-09,4
padosoft/laravel-support,NON_CODE,0,2016-09,1
padosoft/laravel-support,CODE,0,2016-10,1
padosoft/laravel-support,CODE,0,2017-01,1
padosoft/laravel-support,CODE,0,2017-08,1
padosoft/laravel-support,CODE,0,2020-03,1
padosoft/laravel-support,CODE,1,2020-03,1
padosoft/laravel-support,CODE,1,2020-09,1
padosoft/laravel-support,CODE,1,2021-01,1
padosoft/laravel-support,CODE,1,2021-02,1
padosoft/laravel-support,NON_CODE,1,2021-02,1
padosoft/laravel-support,CODE,1,2021-06,1
